"participant_ID","gender","age","bothered_about_poor_IQ","student"
"c61d317a-3140-4ba1-86ef-519cd5703725","male",20,"annoyed",TRUE
"899a9fa2-deac-43f1-9eb1-130d68d2cad7","male",19,"very annoyed",TRUE
"ae4f228c-4ac0-4413-9597-fd93457f7da5","male",19,"slightly annoyed",TRUE
"327f508a-da51-417f-aa16-586553abaea4","male",19,"very annoyed",TRUE
"40b54e2c-31f5-42cf-9197-bc01cf6e3ecb","male",20,"very annoyed",TRUE
"e32cde2d-24e2-4350-8a51-21fe41e75819","male",19,"annoyed",TRUE
"80a58353-c48e-425a-abb4-e6caf7b1df93","male",18,"slightly annoyed",FALSE
"ae48fe23-9605-499d-9540-927543779d30","female",19,"very annoyed",TRUE
"b07be811-370a-4fed-9cb3-ef75a7f0227b","male",19,"annoyed",TRUE
"c5bff1da-e2e7-4d60-9ffc-8026a682ff56","male",20,"annoyed",TRUE
"de23cc75-d5f9-4299-a69b-73495681f8a6","male",20,"very annoyed",TRUE
"f8a6d1be-0123-42a4-967e-54d20bd4df58","male",20,"annoyed",TRUE
"f91756cc-b1ac-4622-91f2-e8dcb48d018a","male",19,"very annoyed",TRUE
"29992d4d-0908-48d7-9c67-ca9fe8d6dad0","male",19,"very annoyed",TRUE
"3450afb4-bc18-4e08-8189-44dda1500c7e","male",19,"very annoyed",TRUE
"a3fa2227-d73d-4deb-90bf-87a62bfd10fe","female",19,"I can't say",TRUE
"cfa8f069-4593-40c0-8bc8-83ea1365a086","male",19,"slightly annoyed",TRUE
"fd1b46d9-7be8-4133-be54-aa033bce2a35","male",20,"very annoyed",TRUE
"a4d314b6-274b-4271-a557-01ed260c0bfb","male",20,"annoyed",TRUE
"d5bd096e-05b1-4ea4-8a4e-c538708ecb9f","male",20,"very annoyed",TRUE
"e21289e0-a683-4c27-86a3-03224daa80e4","female",19,"annoyed",TRUE
"ee0558fa-4dfc-4a24-bc9e-8ac85187dbb5","male",19,"annoyed",FALSE
"f9fa8d07-c972-4782-855d-94a22e2007d8","male",20,"annoyed",TRUE
"29a5139c-d515-412c-a3b6-fd9ed9a40978","male",19,"I can't say",TRUE
"2ab0046f-2e39-4147-8e6d-7855bff86d4e","male",19,"very annoyed",TRUE
"ab6123f9-788f-4911-9e97-863b25f5e5a7","male",20,"annoyed",TRUE
"09d26929-1c40-47d9-9c5f-bafcd101c81f","male",20,"very annoyed",TRUE
"1a70d1e2-91be-4697-906b-99fe57aebf9c","male",19,"annoyed",TRUE
"4303a350-64e8-47cd-a129-ae99e3c29d56","female",23,"annoyed",FALSE
"436fd8b6-9f48-424b-93d6-bc933378f848","male",21,"annoyed",TRUE
"526f0a26-d324-4a1d-93ef-8c20d6361f71","female",19,"annoyed",TRUE
"788d7959-2c14-4d41-9ad3-94c716c4ea4c","female",19,"annoyed",TRUE
"7ae6b713-cb37-4b5d-b28d-9571afdb6200","male",20,"slightly annoyed",TRUE
"83c13e29-d52f-44e0-8949-5ed3c54afbf7","male",19,"slightly annoyed",FALSE
"7d7cc63a-dfe6-4820-80c0-94d87699ac1b","female",20,"very annoyed",TRUE
"b688f9f9-0ef7-45ab-bb84-a53258927465","male",19,"annoyed",TRUE
"c0359f83-3e3e-4e7e-9af5-5b78632d9ddb","female",19,"annoyed",TRUE
"c6825e85-3a61-428d-9de9-e58b8e328806","male",20,"slightly annoyed",TRUE
"01f03325-ee84-4df5-ba19-5927bc80570d","male",19,"very annoyed",TRUE
"1997fcf8-f50b-4058-b8d9-cbe3787f5f98","male",19,"very annoyed",TRUE
"299d43f4-e114-46af-914a-2c355e5a7681","female",19,"very annoyed",TRUE
"3d9572d9-e3bb-498d-8701-dfb292c64d4f","male",19,"I can't say",TRUE
"5253b216-6d2f-4783-847e-c43dc40074fc","male",19,"I can't say",TRUE
"67a26a67-9769-43f4-8bca-c218bd9081be","female",20,"annoyed",TRUE
"7a343f1d-9013-4b2b-98c5-aea3a6d48a5f","male",19,"annoyed",TRUE
"8d13bf70-ff15-4e71-947b-f0f4a9e72bbd","male",19,"annoyed",TRUE
"97ef9fe5-65ea-4a02-92c5-14d910245f3b","male",20,"very annoyed",TRUE
"afa40b4c-e0e3-4d8a-9bfd-737dec7b3278","male",20,"annoyed",TRUE
"b2987764-f4c5-4eb5-a673-c598e31253d0","male",19,"very annoyed",TRUE
"c93edb9e-dc39-40fd-a038-eb2950a6e47a","male",19,"very annoyed",TRUE
"edb06dd7-b3d8-4bda-a015-c1015bcf7f49","male",19,"slightly annoyed",TRUE
"faf8d32b-17e9-4cf9-8f71-494ddbe3716b","male",19,"slightly annoyed",TRUE
"fd3c49b8-f460-4ce1-867d-e48d4131a7ee","male",19,"slightly annoyed",TRUE
"0bbefa0e-e7b9-4a9f-9231-616c2c12488f","male",19,"annoyed",TRUE
"0fa68b9b-67a4-440d-be95-1fe879a40eba","male",19,"very annoyed",TRUE
"1188e095-7ee1-44f3-a941-22f40a330e9f","male",19,"very annoyed",TRUE
"15e76593-e745-4b5a-bc47-74bf61921b07","male",20,"very annoyed",TRUE
"1ad4d6b5-7dfb-485a-bb9d-08208e45d866","male",19,"very annoyed",TRUE
"22d4ce1b-a8d3-45c4-9914-7f4959fab76c","female",19,"very annoyed",TRUE
"2bfcf2be-58e7-4f86-806c-2b9b84a74605","male",20,"annoyed",TRUE
"2d1a2da2-b680-4363-afbf-4c99f96682c1","female",19,"annoyed",TRUE
"394ccdc4-974a-4438-81aa-5b17195221f0","male",18,"very annoyed",FALSE
"3ab1825f-066c-48c0-84d6-41e12df5b382","male",19,"annoyed",TRUE
"3d8a98da-01b2-4228-8c03-c3e22342e89b","male",19,"annoyed",TRUE
"3def53de-a971-4497-9eaf-1d053b6fa94e","male",19,"annoyed",TRUE
"3ea978de-10b5-4de3-8422-b244e037f309","male",20,"annoyed",TRUE
"4bd115dc-d4c1-49d5-9a0d-39703ff97adb","male",20,"very annoyed",TRUE
"595bf87f-13ea-4b55-9257-3b47f97b727a","male",19,"very annoyed",TRUE
"5abac074-61cf-48ad-88b1-002ac13dc2f8","female",19,"annoyed",TRUE
"5e3ad7ae-9f57-4f13-bf9c-f39f0189c275","male",19,"very annoyed",TRUE
"61f84d0c-c3ab-4438-890e-3d3748898bfd","male",19,"very annoyed",TRUE
"64f0eda6-1dd3-42b5-b450-fb95e876e84a","female",19,"very annoyed",TRUE
"662b1a1e-1018-423d-ad2e-b900e1f9208c","male",19,"slightly annoyed",TRUE
"6ad18f1f-6452-4912-8c16-b33e595873dc","male",20,"slightly annoyed",FALSE
"72529f71-925a-4c16-814e-9d46e9b5a368","male",19,"very annoyed",TRUE
"72fc47da-02eb-43e3-9f6b-a0d5ab38e8ef","male",19,"I can't say",TRUE
"743810da-525d-4154-98f5-05aab1867e91","male",19,"I can't say",TRUE
"8d6009a5-4f58-417a-882a-7123f1b9e42f","male",19,"annoyed",TRUE
"8e5ba475-6cb7-44bf-98f3-56ec42cedc5b","male",19,"annoyed",TRUE
"90c481e5-4987-443a-bba0-063e8dcf4536","female",20,"annoyed",TRUE
"92987e82-b196-41eb-a4d8-3e6f3170301c","male",19,"annoyed",TRUE
"99d27c81-1c07-4196-8a3b-b1b39e91221f","male",20,"slightly annoyed",TRUE
"9af6c591-26db-4d8d-aa58-8b74b27250f3","male",19,"annoyed",TRUE
"9ee807d2-0c86-488d-9c58-0113603fbd89","male",19,"annoyed",TRUE
"9fbec099-a25f-4bba-bceb-67be9d33979b","male",20,"very annoyed",TRUE
"9fd27362-45ec-4587-b532-adaa7d75fd04","female",22,"very annoyed",FALSE
"a39ab1a3-c813-41af-880c-1fbc79016114","male",20,"not annoyed",TRUE
"a8bcc4d4-869f-476b-8795-0c181ca1e6f7","male",19,"very annoyed",TRUE
"ae9b1621-d3b2-49b6-85a6-e591beb0077e","female",20,"very annoyed",TRUE
"b05e80e9-4ad6-4b19-9275-5d5bb6f6ce95","male",19,"slightly annoyed",TRUE
"b42d0022-59ce-4990-813b-8dbf46bdcf38","male",19,"annoyed",TRUE
"b56d100e-073c-40aa-838f-1817f9e3eaff","male",19,"annoyed",FALSE
"b679ce95-5da4-4b7d-89ed-b3ff8f0636b2","female",22,"slightly annoyed",FALSE
"bfdfbbee-a070-476c-b400-d67c84d812fa","male",19,"very annoyed",TRUE
"c1292ae9-c229-4fdd-91a1-ebc3f81bbb27","male",19,"annoyed",TRUE
"ccb9c612-9262-41e9-9c8a-282a7c24dc52","male",20,"annoyed",TRUE
"d446346e-a655-4748-b615-514d5e61f813","female",19,"annoyed",TRUE
"d8c5f433-321b-4bde-8299-39404e7963c7","male",19,"annoyed",TRUE
"d9e4f36f-3a8a-4c33-827e-b36fa706634d","male",20,"annoyed",TRUE
"d9ea4b05-891a-4977-b286-756912f6e573","male",19,"annoyed",TRUE
"e0db9859-b230-4e1e-a811-ae5949f794a2","male",20,"slightly annoyed",TRUE
"e9877654-46ce-4d52-8786-cdee099419e9","male",20,"annoyed",TRUE
"eb4acf83-df44-4b8a-a874-96c6f445968d","male",19,"very annoyed",TRUE
"f50c8c1b-f8c9-4a27-86c5-3a2a8a6ccd55","male",19,"very annoyed",TRUE
"fbdb7496-5c1d-4b1b-b29c-ea7d21b6e8f8","male",19,"I can't say",TRUE
"fe9ab28d-38fb-449c-b95c-9ace5e6d1b3a","female",20,"annoyed",TRUE
"feb24ab0-b2de-496e-9c09-84cfdc289d96","male",19,"very annoyed",TRUE
"c0de2f19-044a-4c48-baa2-ec5390a1137c","male",19,"very annoyed",TRUE
"34bc49f5-1c6e-4d5d-99d6-4fa826697e3c","male",20,"very annoyed",TRUE
"cafbe4bc-0bd7-489d-9618-9ff59095034b","female",20,"very annoyed",TRUE
"7ce078bb-c377-47b2-a082-4cc67725bdf5","male",19,"annoyed",TRUE
"21707c27-924b-4229-ac71-a07898dcd97c","male",20,"very annoyed",TRUE
"149404ef-768d-4d23-8e61-abcc5c465935","male",19,"very annoyed",TRUE
"1d13b1df-e482-4044-bd70-00e4f423b4ca","male",20,"very annoyed",TRUE
"237c3ad5-edeb-47c3-9265-17fee661aa4d","male",19,"very annoyed",TRUE
"b0696d54-be46-4663-bb8d-c108759a776e","male",20,"very annoyed",TRUE
"7644c67c-1c1d-4b24-afa5-df9609c4aedb","female",19,"very annoyed",TRUE
"0fda0d28-a38c-4b41-b68e-e6e847d33ec5","male",20,"slightly annoyed",TRUE
"c0e8f677-d17f-4d81-9c41-403042fb08c0","male",19,"annoyed",TRUE
"08ea51ed-3238-44f8-b663-0d6d90ccbe82","male",19,"very annoyed",TRUE
"45b6f8a3-2c75-46cb-b057-29ba7726ac8b","male",20,"annoyed",TRUE
"6046840c-60e5-42d3-9b15-f4df6a5a658d","male",19,"very annoyed",TRUE
"a4ddc341-63f8-4336-a5d7-4ceb7ca0b7b8","male",19,"annoyed",TRUE
"2291614a-e21f-4a33-acf7-a1bfa62bc2d8","male",21,"very annoyed",TRUE
"c585dd75-e453-4297-a5a0-a10b14a78868","male",19,"annoyed",TRUE
"ec3a3720-cf76-4c74-b48f-4debfeb2e6c6","male",20,"annoyed",TRUE
"2e3e6e8b-f5d4-41f6-946b-6b9c041dbf36","male",19,"slightly annoyed",TRUE
"75c87141-c0cc-425e-b858-f3dd6d033c66","male",20,"annoyed",TRUE
"aed088b6-780e-4f3d-8277-be0389c072e3","male",20,"very annoyed",TRUE
"d34f2ce6-85ec-4cd5-92ab-05a698f22c56","female",20,"slightly annoyed",TRUE
"ec86e8ea-fa24-46f2-8afb-9a721d66fafa","male",19,"annoyed",TRUE
"79998611-ef82-4e1c-b7e8-7fde22cf37d3","male",19,"very annoyed",TRUE
"b38b48ab-eca4-4dfe-8344-ca9f6c57027e","male",19,"very annoyed",TRUE
"11d4ad76-e74a-4938-a607-43c821ef02f6","male",20,"very annoyed",TRUE
"e17570a0-659a-45ce-bfcb-ee3b0c1e7ed9","male",20,"very annoyed",TRUE
"5602585a-32e4-4927-b770-3cbb1226e658","female",19,"slightly annoyed",TRUE
"4437a063-dede-4917-b6d7-5fa897dafdce","male",20,"not annoyed",TRUE
"c508b8b2-f985-40ee-ba6f-8a4fa4c95d20","male",19,"slightly annoyed",TRUE
"0ccd2644-3064-48c0-ba06-b9294a6344f4","male",19,"annoyed",TRUE
"367ac555-bf6f-4ca4-9565-b541ffeaa79d","female",19,"slightly annoyed",TRUE
"8fc51ae3-8540-4986-8390-934f36633d80","male",19,"very annoyed",TRUE
